Date,close,vol_regime,combined_score,position_scalar,short_vol,long_vol,regime_str
2018-08-16,252.14834594726562,normal,2.85,1.0,0.1173,0.0879,bull_trend
2018-08-17,253.03610229492188,normal,2.3,1.0,0.1062,0.0878,bull_trend
2018-08-20,253.5775604248047,normal,2.3,1.0,0.0962,0.0868,bull_trend
2018-08-21,254.1722412109375,normal,2.3,1.0,0.0901,0.0866,bull_trend
2018-08-22,254.02137756347656,calm,2.45,1.0,0.0503,0.0865,bull_trend
2018-08-23,253.68406677246094,calm,2.45,1.0,0.0329,0.0864,bull_trend
2018-08-24,255.2108612060547,calm,2.45,1.0,0.0461,0.0868,bull_trend
2018-08-27,257.2258605957031,normal,2.85,1.0,0.064,0.0841,bull_trend
2018-08-28,257.3500671386719,normal,2.85,1.0,0.0663,0.0805,bull_trend
2018-08-29,258.7349548339844,normal,2.85,1.0,0.0622,0.0796,bull_trend
2018-08-30,257.6874084472656,normal,2.85,1.0,0.0772,0.0783,bull_trend
2018-08-31,257.6962585449219,normal,2.85,1.0,0.0749,0.078,bull_trend
2018-09-04,257.2525634765625,normal,2.85,1.0,0.0553,0.0782,bull_trend
2018-09-05,256.5600891113281,normal,2.85,1.0,0.0582,0.077,bull_trend
2018-09-06,255.78778076171875,calm,3.0,1.0,0.0245,0.0773,bull_trend
2018-09-07,255.29074096679688,calm,3.0,1.0,0.0188,0.0774,bull_trend
2018-09-10,255.73458862304688,calm,3.0,1.0,0.0302,0.0774,bull_trend
2018-09-11,256.577880859375,calm,3.0,1.0,0.0453,0.0776,bull_trend
2018-09-12,256.6400146484375,calm,3.0,1.0,0.0411,0.0772,bull_trend
2018-09-13,258.15789794921875,calm,2.45,1.0,0.0474,0.0778,bull_trend
2018-09-14,258.2023010253906,calm,2.45,1.0,0.0382,0.0777,bull_trend
2018-09-17,256.8352355957031,normal,2.3,1.0,0.0665,0.0785,bull_trend
2018-09-18,258.2288818359375,normal,2.3,1.0,0.0728,0.0784,bull_trend
2018-09-19,258.5039978027344,normal,2.3,1.0,0.0723,0.0784,bull_trend
2018-09-20,260.59893798828125,normal,2.3,1.0,0.0819,0.0784,bull_trend
2018-09-21,260.3608703613281,normal,2.85,1.0,0.0836,0.0785,bull_trend
2018-09-24,259.49591064453125,normal,2.85,1.0,0.0739,0.0732,bull_trend
2018-09-25,259.25518798828125,normal,2.85,1.0,0.0693,0.0733,bull_trend
2018-09-26,258.4793395996094,normal,2.3,1.0,0.0742,0.0712,bull_trend
2018-09-27,259.2016296386719,calm,2.45,1.0,0.0387,0.0707,bull_trend
2018-09-28,259.2283935546875,calm,2.45,1.0,0.0396,0.0708,bull_trend
2018-10-01,260.1290283203125,calm,2.45,1.0,0.0424,0.0709,bull_trend
2018-10-02,259.97735595703125,calm,2.45,1.0,0.0417,0.0703,bull_trend
2018-10-03,260.1201477050781,calm,3.0,1.0,0.0281,0.0689,bull_trend
2018-10-04,258.0870361328125,normal,2.85,1.0,0.0665,0.0696,bull_trend
2018-10-05,256.6426086425781,normal,2.85,1.0,0.0733,0.0688,bull_trend
2018-10-08,256.6426086425781,normal,2.85,1.0,0.0599,0.0685,bull_trend
2018-10-09,256.2680358886719,normal,2.85,1.0,0.0582,0.0667,bull_trend
2018-10-10,248.1537628173828,extreme_stress,2.0,1.0,0.2045,0.0912,bull_trend
2018-10-11,242.68777465820312,extreme_stress,2.0,1.0,0.2221,0.1012,bull_trend
2018-10-12,246.05831909179688,extreme_stress,1.45,1.0,0.2908,0.1052,bull_trend
2018-10-15,244.67625427246094,extreme_stress,2.0,1.0,0.2834,0.1054,bull_trend
2018-10-16,250.02626037597656,extreme_stress,1.45,1.0,0.3619,0.1142,bull_trend
2018-10-17,250.07090759277344,extreme_stress,2.0,1.0,0.272,0.114,bull_trend
2018-10-18,246.45957946777344,extreme_stress,2.0,1.0,0.2329,0.1176,bull_trend
2018-10-19,246.32591247558594,stress,2.15,0.5,0.2127,0.1175,sideways
2018-10-22,245.22019958496094,stress,2.15,0.5,0.2109,0.1174,sideways
2018-10-23,243.97178649902344,normal,2.3,0.5,0.0926,0.1164,sideways
2018-10-24,236.57984924316406,normal,1.75,0.5,0.1897,0.1307,sideways
2018-10-25,240.82423400878906,extreme_stress,1.45,0.5,0.2732,0.1355,sideways
2018-10-26,236.58871459960938,extreme_stress,1.45,0.5,0.2843,0.1394,sideways
2018-10-29,235.27793884277344,extreme_stress,1.45,0.0,0.2836,0.1393,bear_trend
2018-10-30,238.764404296875,extreme_stress,1.45,0.0,0.3286,0.1428,bear_trend
2018-10-31,241.3146514892578,extreme_stress,1.45,0.0,0.2398,0.1441,bear_trend
2018-11-01,243.88265991210938,normal,1.75,0.0,0.2178,0.1455,bear_trend
2018-11-02,242.4381561279297,normal,1.75,0.0,0.1569,0.1456,bear_trend
2018-11-05,243.7756805419922,normal,2.3,0.0,0.1273,0.146,bear_trend
2018-11-06,245.3182830810547,normal,2.3,0.0,0.1078,0.1466,bear_trend
2018-11-07,250.57012939453125,normal,2.3,1.0,0.1565,0.153,bull_trend
2018-11-08,250.11544799804688,normal,2.3,1.0,0.1659,0.1524,bull_trend
2018-11-09,247.67225646972656,normal,2.3,1.0,0.1833,0.1535,bull_trend
2018-11-12,243.04449462890625,extreme_stress,2.0,1.0,0.244,0.1573,bull_trend
2018-11-13,242.58975219726562,stress,2.15,1.0,0.2363,0.1567,bull_trend
2018-11-14,240.93118286132812,normal,2.3,1.0,0.1106,0.1563,bull_trend
2018-11-15,243.4457550048828,normal,2.3,1.0,0.1704,0.1576,bull_trend
2018-11-16,244.078857421875,normal,2.3,1.0,0.1728,0.1577,bull_trend
2018-11-19,239.95033264160156,normal,2.3,1.0,0.1627,0.1609,bull_trend
2018-11-20,235.50979614257812,normal,2.3,1.0,0.1977,0.1647,bull_trend
2018-11-21,236.31234741210938,normal,2.3,1.0,0.2076,0.165,bull_trend
2018-11-23,234.7340850830078,normal,2.3,1.0,0.1648,0.1647,bull_trend
2018-11-26,238.52371215820312,normal,2.3,1.0,0.2306,0.1674,bull_trend
2018-11-27,239.32614135742188,normal,2.3,1.0,0.2054,0.1676,bull_trend
2018-11-28,244.83676147460938,normal,2.3,1.0,0.1862,0.1739,bull_trend
2018-11-29,244.3017578125,normal,2.3,1.0,0.1984,0.1738,bull_trend
2018-11-30,245.79086303710938,normal,2.3,1.0,0.1612,0.1744,bull_trend
2018-12-03,249.0454559326172,normal,2.85,1.0,0.1546,0.1766,bull_trend
2018-12-04,240.9757843017578,extreme_stress,2.0,1.0,0.3354,0.1878,bull_trend
2018-12-06,240.61016845703125,extreme_stress,2.0,1.0,0.2765,0.1877,bull_trend
2018-12-07,235.0194091796875,extreme_stress,2.0,0.5,0.3093,0.1929,sideways
2018-12-10,235.46524047851562,extreme_stress,2.0,0.5,0.2989,0.193,sideways
2018-12-11,235.51870727539062,normal,2.3,0.5,0.2497,0.1928,sideways
2018-12-12,236.7047119140625,normal,1.2,0.5,0.1791,0.1932,sideways
2018-12-13,236.62442016601562,normal,1.2,0.5,0.1801,0.1926,sideways
2018-12-14,232.2552032470703,normal,1.2,0.0,0.147,0.1956,bear_trend
2018-12-17,227.69876098632812,normal,1.2,0.0,0.183,0.1988,bear_trend
2018-12-18,227.44906616210938,normal,1.2,0.0,0.1801,0.1982,bear_trend
2018-12-19,224.04283142089844,normal,1.2,0.0,0.1501,0.1999,bear_trend
2018-12-20,220.3958740234375,calm,1.35,0.0,0.1188,0.2007,bear_trend
2018-12-21,215.88009643554688,calm,1.35,0.0,0.1243,0.2038,bear_trend
2018-12-24,210.1759033203125,normal,1.2,0.0,0.1489,0.2092,bear_trend
2018-12-26,220.79498291015625,extreme_stress,0.55,0.0,0.5024,0.2352,bear_trend
2018-12-27,222.49012756347656,extreme_stress,1.45,0.0,0.5013,0.2361,bear_trend
2018-12-28,222.2030792236328,extreme_stress,1.45,0.0,0.4835,0.2359,bear_trend
2018-12-31,224.1493682861328,extreme_stress,1.45,0.0,0.4405,0.2369,bear_trend
2019-01-02,224.38247680664062,extreme_stress,1.45,0.0,0.3369,0.2367,bear_trend
2019-01-03,219.02813720703125,normal,1.75,0.0,0.2094,0.2406,bear_trend
2019-01-04,226.3646697998047,extreme_stress,1.45,0.0,0.3277,0.2511,bear_trend
2019-01-07,228.14944458007812,extreme_stress,1.45,0.0,0.3255,0.2516,bear_trend
2019-01-08,230.29298400878906,extreme_stress,1.45,0.0,0.326,0.2525,bear_trend
2019-01-09,231.3692626953125,extreme_stress,1.45,0.0,0.3238,0.2528,bear_trend
2019-01-10,232.1854248046875,normal,1.75,0.0,0.1962,0.253,bear_trend
2019-01-11,232.2751007080078,calm,1.9,0.0,0.0567,0.2454,bear_trend
2019-01-14,230.85806274414062,calm,1.9,0.5,0.0911,0.2419,sideways
2019-01-15,233.5038604736328,calm,1.9,0.5,0.1017,0.2414,sideways
2019-01-16,234.0688934326172,calm,1.9,0.5,0.1003,0.2412,sideways
